operator,p,seed,k,downstream_score,recovery_f1,noise_rate,recall_informative,average_precision,roc_auc,runtime_s
multiplicative,10000,2,20,0.9346333894382495,0.8000000000000002,0.2,1.0,0.6644444444444444,0.9997798899449725,2.2482811250374652
multiplicative,10000,3,20,0.9294871794871795,0.65,0.35,0.6,0.14353333333333332,0.7992996498249124,2.2463867500191554
multiplicative,10000,4,20,0.9411107239363835,0.65,0.35,0.6,0.18474545454545455,0.7993796898449225,2.181380291993264
multiplicative,10000,5,20,0.9640753208499895,0.7,0.3,0.6,0.3240095238095238,0.79943971985993,2.373580916028004
multiplicative,10000,6,20,0.9423076923076923,0.85,0.15,0.8,0.37830512820512824,0.899399699849925,2.158489290974103
multiplicative,10000,7,20,0.9128205128205129,0.75,0.25,0.4,0.08363333333333334,0.6992396198099049,2.185785958019551
multiplicative,10000,8,20,0.9563902458267313,0.8000000000000002,0.2,0.8,0.30390952380952385,0.8994797398699351,2.430293040990364
multiplicative,10000,9,20,0.8974358974358974,0.7,0.3,0.6,0.25258095238095235,0.7994797398699349,2.1870396659942344
quotient,10000,0,20,0.8396670523879655,0.20000000000000004,0.8,0.0,0.0005,0.49899949974987495,2.263058165961411
quotient,10000,1,20,0.810228864095096,0.20000000000000004,0.8,0.0,0.0005,0.49899949974987495,2.407198457978666
quotient,10000,2,20,0.8744214180517568,0.25,0.75,0.8,0.3661839160839161,0.8993796898449226,2.4143823749618605
quotient,10000,3,20,0.8371794871794872,0.20000000000000004,0.8,0.2,0.018581818181818185,0.5990395197598799,2.3419509580126032
quotient,10000,4,20,0.9218568169415973,0.25,0.75,0.4,0.03563834586466166,0.6988594297148574,2.32177037501242
quotient,10000,5,20,0.920379234167894,0.25,0.75,0.6,0.3214121212121212,0.7994197098549275,2.3356137499795295
quotient,10000,6,20,0.8923076923076922,0.25,0.75,0.4,0.22252222222222223,0.6991395697848924,2.2728528340230696
quotient,10000,7,20,0.8461538461538461,0.25,0.75,0.2,0.01216470588235294,0.5989194597298649,2.3215259999851696
quotient,10000,8,20,0.8704232111979697,0.20000000000000004,0.8,0.2,0.017066666666666667,0.5990195097548774,2.5003720829845406
quotient,10000,9,20,0.7269230769230769,0.15,0.85,0.2,0.01216470588235294,0.5989194597298649,2.4965531670022756
reg_quotient,10000,0,20,0.9424047969703345,0.6,0.4,0.8,0.18784114774114777,0.8992196098049025,2.1934623750275932
reg_quotient,10000,1,20,0.9499766599385926,0.55,0.45,0.6,0.10656363636363636,0.7991195597798899,2.2507459999760613
reg_quotient,10000,2,20,0.9320692194403535,0.6,0.4,1.0,0.8253968253968254,0.9998599299649825,2.302739625039976
reg_quotient,10000,3,20,0.9320512820512821,0.55,0.45,0.6,0.13096923076923078,0.7990995497748875,2.185556792013813
reg_quotient,10000,4,20,0.9449667650674889,0.6,0.4,0.6,0.35353333333333326,0.7995797898949475,2.1709729579743
reg_quotient,10000,5,20,0.9615111508520935,0.6,0.4,0.6,0.6002000000000001,0.7996598299149575,2.293232291995082
reg_quotient,10000,6,20,0.9358974358974359,0.8000000000000002,0.2,0.8,0.3436064935064935,0.89927963981991,2.245245124970097
reg_quotient,10000,7,20,0.9102564102564102,0.55,0.45,0.4,0.08106923076923078,0.6991795897948975,2.1738095830078237
reg_quotient,10000,8,20,0.9461074694771169,0.65,0.35,0.8,0.44232222222222217,0.8996598299149575,2.2584165410371497
reg_quotient,10000,9,20,0.8858974358974359,0.55,0.45,0.6,0.16686666666666666,0.79935967983992,2.215273874986451
