method,source,dataset,k,seed,recovery_f1,noise_rate,runtime_s
MID,modmrmr,mixed,5,2,0.4444444444444445,0.6,0.10152033402118832
MIQ,modmrmr,mixed,3,2,0.5714285714285715,0.3333333333333333,0.10008324997033924
MIQ,modmrmr,mixed,5,2,0.6666666666666665,0.4,0.10062662500422448
FCD,modmrmr,mixed,3,2,0.8571428571428571,0.0,0.01094749994808808
FCD,modmrmr,mixed,5,2,0.888888888888889,0.2,0.011583333020098507
FCQ,modmrmr,mixed,3,2,0.8571428571428571,0.0,0.010877916007302701
FCQ,modmrmr,mixed,5,2,0.888888888888889,0.2,0.01185070798965171
ModMRMR,modmrmr,mixed,3,2,0.8571428571428571,0.0,0.01074599998537451
ModMRMR,modmrmr,mixed,5,2,0.888888888888889,0.2,0.011931125016417354
mrmr_selection_classif,external,xor,3,0,0.8,0.3333333333333333,1.6169411669834517
mrmr_selection_classif,external,xor,5,0,0.5714285714285715,0.6,1.9165180829586461
cmim,external,xor,3,0,0.4,0.6666666666666666,0.00956783298170194
cmim,external,xor,5,0,0.5714285714285715,0.6,0.014255457965191454
jmi,external,xor,3,0,0.0,1.0,0.009056458016857505
jmi,external,xor,5,0,0.28571428571428575,0.8,0.014153708005324006
MID,modmrmr,xor,3,0,0.4,0.6666666666666666,0.08004754199646413
MID,modmrmr,xor,5,0,0.5714285714285715,0.6,0.0801334580173716
MIQ,modmrmr,xor,3,0,0.4,0.6666666666666666,0.07963520800694823
MIQ,modmrmr,xor,5,0,0.28571428571428575,0.8,0.07971487496979535
FCD,modmrmr,xor,3,0,0.8,0.3333333333333333,0.008974166004918516
FCD,modmrmr,xor,5,0,0.5714285714285715,0.6,0.009603708982467651
FCQ,modmrmr,xor,3,0,0.8,0.3333333333333333,0.008776875038165599
FCQ,modmrmr,xor,5,0,0.5714285714285715,0.6,0.009923833014909178
ModMRMR,modmrmr,xor,3,0,0.8,0.3333333333333333,0.008765916980337352
ModMRMR,modmrmr,xor,5,0,0.5714285714285715,0.6,0.010031749960035086
mrmr_selection_classif,external,xor,3,1,0.8,0.3333333333333333,1.5926300000282936
mrmr_selection_classif,external,xor,5,1,0.5714285714285715,0.6,1.9826258330140263
cmim,external,xor,3,1,0.4,0.6666666666666666,0.009557625045999885
cmim,external,xor,5,1,0.5714285714285715,0.6,0.014255583984777331
jmi,external,xor,3,1,0.0,1.0,0.009112791973166168
jmi,external,xor,5,1,0.28571428571428575,0.8,0.014227000006940216
MID,modmrmr,xor,3,1,0.4,0.6666666666666666,0.08047683298354968
MID,modmrmr,xor,5,1,0.5714285714285715,0.6,0.07985579100204632
MIQ,modmrmr,xor,3,1,0.4,0.6666666666666666,0.07958499999949709
MIQ,modmrmr,xor,5,1,0.28571428571428575,0.8,0.07964508299482986
FCD,modmrmr,xor,3,1,0.8,0.3333333333333333,0.008985332970041782
FCD,modmrmr,xor,5,1,0.5714285714285715,0.6,0.009551708004437387
FCQ,modmrmr,xor,3,1,0.8,0.3333333333333333,0.008794124994892627
FCQ,modmrmr,xor,5,1,0.5714285714285715,0.6,0.009861666010692716
ModMRMR,modmrmr,xor,3,1,0.8,0.3333333333333333,0.008765833976212889
